year	total_hours	n_periods	days_in_year	percent_of_total
2017	444.41083333333336	481	365	5.07318302891933
2018	575.9088888888889	528	365	6.574302384576357
2019	946.9294444444445	1042	365	10.809696854388635
2020	665.4177777777778	1333	366	7.575339000202389
2021	637.1758333333333	1350	365	7.273696727549467
2022	506.2372222222222	833	365	5.778963723997971
2023	588.2369444444445	869	365	6.715033612379504
2024	373.035	943	366	4.2467554644808745
2025	334.59305555555557	998	365	3.8195554287163875
